,FIPST,YEAR,V33,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,PPR,PPE
65,12,1995,2107514.0,20244885247.9219,1435218448.4250243,9966133338.54588,8843533460.950998,20598436286.692,9606.050184208456,9773.807569815432
66,12,1996,2175352.0,20324457696.65551,1399315350.1832962,9908639802.462545,9016502544.00967,20698411367.76113,9343.06617809693,9514.97107951317
67,12,1997,2241298.0,20845983311.112553,1440012926.8040702,10191809748.253036,9214160636.055445,21137753168.803864,9300.853037441944,9431.032004135042
68,12,1998,2292161.0,22287952735.25637,1595755901.740708,11065048683.295841,9627148150.219822,21658732092.30356,9723.554643524767,9449.044849948828
69,12,1999,2333567.0,23904810517.01435,1771812209.0124564,12195000884.348888,9937997423.653008,22595504301.70093,10243.892940298843,9682.817892822846
70,12,2000,2377271.0,23754029073.119923,1892278461.1619244,11910596477.083336,9951154134.874662,23242885788.17751,9992.14186061241,9777.129232711588
71,12,2001,2431884.0,24296156385.848083,2057541689.7919807,11999818025.072948,10238796670.983152,24193935940.366154,9990.672411121617,9948.638973062101
72,12,2002,2500179.0,24013441498.339123,2282571458.4665275,11063918340.25249,10666951699.620106,24673116383.49085,9604.688903610151,9868.539965934779
73,12,2003,2536699.0,24757087426.942238,2478012880.840317,11003562096.663645,11275512449.438276,25555281657.472248,9759.568410340462,10074.227039736386
74,12,2004,2592997.0,26669616336.21062,2681665124.984558,11832353381.099442,12155597830.12662,27005450704.447186,10285.247663692098,10414.76357452291
75,12,2005,2645280.0,27694093934.687424,2777607494.689566,11858072809.603155,13058413630.394705,28458254401.88606,10469.248599273962,10758.125567760713
76,12,2006,2663973.0,29379328203.757587,2842753206.5396214,11805232272.092924,14731342725.125042,30749242968.531677,11028.388126965847,11542.62560789155
77,12,2007,2656176.0,32468407732.76813,2796516407.8804417,13009370056.544947,16662521268.342741,33537487842.22073,12223.741097264689,12626.22952779512
78,12,2008,2645680.0,32461939433.349583,2683593322.4687743,12800283696.090382,16978062414.790428,33779563155.585354,12269.790539048405,12767.818918230985
79,12,2009,2623067.0,28769309929.63917,2925920639.373006,9824409056.561338,16018980233.704828,31345977911.372314,10967.813605081064,11950.12476287198
80,12,2010,2634516.0,28023737518.06792,4487131675.583633,8778090780.534359,14758515029.899773,29130395171.731014,10637.148348337196,11057.209434951625
81,12,2011,2643345.0,27396630179.772556,4878276504.984557,9392386125.494917,13125967526.508894,27954069112.41175,10364.379292060838,10575.263203407709
82,12,2012,2668154.0,24492865839.020912,3113266755.8116846,8829791369.03641,12549807689.821259,25723412051.150154,9179.704709331214,9640.90230592018
